127.0.0.1 - - [29/Feb/2016:21:35:04 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Feb/2016:21:35:26 +0530] "GET /OnlineStorage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Feb/2016:21:35:27 +0530] "GET /OnlineStorage/ HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [29/Feb/2016:21:35:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/Feb/2016:21:35:34 +0530] "POST /OnlineStorage/Dispatcher?pageid=login&actionid=doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Feb/2016:21:35:34 +0530] "GET /OnlineStorage/JSPs/user_home_page.jsp HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [29/Feb/2016:21:35:38 +0530] "GET /OnlineStorage/Dispatcher?pageid=userhome&actionid=doSignout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Feb/2016:21:35:39 +0530] "GET /OnlineStorage/JSPs/login.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [29/Feb/2016:21:35:55 +0530] "POST /OnlineStorage/Dispatcher?pageid=login&actionid=doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Feb/2016:21:35:56 +0530] "GET /OnlineStorage/JSPs/admin_home_page.jsp HTTP/1.1" 200 7137
0:0:0:0:0:0:0:1 - - [29/Feb/2016:21:42:08 +0530] "GET /OnlineStorage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Feb/2016:21:42:08 +0530] "GET /OnlineStorage/ HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [29/Feb/2016:21:42:55 +0530] "GET /OnlineStorage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Feb/2016:21:42:56 +0530] "GET /OnlineStorage/ HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [29/Feb/2016:21:42:56 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
