127.0.0.1 - - [08/Mar/2016:10:21:28 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:21:32 +0530] "GET /OnlineStorage/ HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:21:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:21:40 +0530] "POST /OnlineStorage/Dispatcher?pageid=login&actionid=doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:21:41 +0530] "GET /OnlineStorage/JSPs/user_home_page.jsp HTTP/1.1" 200 2433
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:21:59 +0530] "GET /OnlineStorage/Dispatcher?pageid=userhome&actionid=doFileUpload HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:21:59 +0530] "GET /OnlineStorage/JSPs/file_details_page.jsp HTTP/1.1" 200 2125
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:22:08 +0530] "POST /OnlineStorage/Dispatcher?pageid=filedetails&actionid=doFileDetailsCheck HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:32:49 +0530] "GET /OnlineStorage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:32:49 +0530] "GET /OnlineStorage/ HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:32:55 +0530] "POST /OnlineStorage/Dispatcher?pageid=login&actionid=doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:32:55 +0530] "GET /OnlineStorage/JSPs/admin_home_page.jsp HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:33:00 +0530] "GET /OnlineStorage/Dispatcher?pageid=adminhome&actionid=doShowUploads HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:33:00 +0530] "GET /OnlineStorage/JSPs/admin_files_page.jsp HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:33:08 +0530] "GET /OnlineStorage/Dispatcher?pageid=adminfiles&actionid=doEditQuestions HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:33:08 +0530] "GET /OnlineStorage/JSPs/edit_questions.jsp HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:33:09 +0530] "GET /OnlineStorage/Dispatcher?pageid=editquestions&actionid=doBack HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:33:18 +0530] "GET /OnlineStorage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:33:18 +0530] "GET /OnlineStorage/ HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:33:23 +0530] "POST /OnlineStorage/Dispatcher?pageid=login&actionid=doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:33:23 +0530] "GET /OnlineStorage/JSPs/admin_home_page.jsp HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:33:26 +0530] "GET /OnlineStorage/Dispatcher?pageid=adminhome&actionid=doEditQuestions HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:33:26 +0530] "GET /OnlineStorage/JSPs/edit_questions.jsp HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:33:27 +0530] "GET /OnlineStorage/Dispatcher?pageid=editquestions&actionid=doBack HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:38:08 +0530] "GET /OnlineStorage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:38:08 +0530] "GET /OnlineStorage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:38:08 +0530] "GET /OnlineStorage/ HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:38:17 +0530] "POST /OnlineStorage/Dispatcher?pageid=login&actionid=doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:38:17 +0530] "GET /OnlineStorage/JSPs/admin_home_page.jsp HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:38:22 +0530] "GET /OnlineStorage/Dispatcher?pageid=adminhome&actionid=doEditQuestions HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:38:22 +0530] "GET /OnlineStorage/JSPs/edit_questions.jsp HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:38:28 +0530] "GET /OnlineStorage/Dispatcher?pageid=editquestions&actionid=doBack HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:39:47 +0530] "GET /OnlineStorage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:39:47 +0530] "GET /OnlineStorage/ HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:39:54 +0530] "POST /OnlineStorage/Dispatcher?pageid=login&actionid=doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:39:54 +0530] "GET /OnlineStorage/JSPs/admin_home_page.jsp HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:39:59 +0530] "GET /OnlineStorage/Dispatcher?pageid=adminhome&actionid=doEditQuestions HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:39:59 +0530] "GET /OnlineStorage/JSPs/edit_questions.jsp HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:40:15 +0530] "GET /OnlineStorage/Dispatcher?pageid=editquestions&actionid=doBack HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:40:47 +0530] "GET /OnlineStorage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:40:47 +0530] "GET /OnlineStorage/ HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:40:54 +0530] "POST /OnlineStorage/Dispatcher?pageid=login&actionid=doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:40:54 +0530] "GET /OnlineStorage/JSPs/admin_home_page.jsp HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:40:58 +0530] "GET /OnlineStorage/Dispatcher?pageid=adminhome&actionid=doEditQuestions HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:40:58 +0530] "GET /OnlineStorage/JSPs/edit_questions.jsp HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:41:05 +0530] "GET /OnlineStorage/Dispatcher?pageid=editquestions&actionid=doBack HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:42:17 +0530] "GET /OnlineStorage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:42:17 +0530] "GET /OnlineStorage/ HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:42:23 +0530] "POST /OnlineStorage/Dispatcher?pageid=login&actionid=doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:42:24 +0530] "GET /OnlineStorage/JSPs/admin_home_page.jsp HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:42:26 +0530] "GET /OnlineStorage/Dispatcher?pageid=adminhome&actionid=doEditQuestions HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:42:26 +0530] "GET /OnlineStorage/JSPs/edit_questions.jsp HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:42:30 +0530] "GET /OnlineStorage/Dispatcher?pageid=editquestions&actionid=doBack HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:10:43:39 +0530] "POST /OnlineStorage/Dispatcher?pageid=editquestions&actionid=doUpdateQuestions HTTP/1.1" 302 -
