127.0.0.1 - - [27/Jan/2018:22:03:32 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:03:38 +0530] "GET /JSP_Actions/jspActions.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:03:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:03:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:04:03 +0530] "GET /JSP_Actions/jspBodyAction.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:04:04 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:04:37 +0530] "GET /JSP_Actions/jspForwardAction.jsp HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:04:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:04:53 +0530] "GET /JSP_Actions/jspGetPropertyAction.jsp HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:04:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:05:10 +0530] "GET /JSP_Actions/jspIncludeAction.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:05:12 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:05:23 +0530] "GET /JSP_Actions/jspPluginAction.jsp HTTP/1.1" 500 2909
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:05:25 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:07:12 +0530] "GET /JSP_Actions/jspPluginAction.jsp HTTP/1.1" 500 2909
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:07:23 +0530] "GET /JSP_Actions/jspPluginAction.jsp HTTP/1.1" 500 2909
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:07:59 +0530] "GET /JSP_Actions/jspPluginAction.jsp HTTP/1.1" 500 2909
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:08:12 +0530] "GET /JSP_Actions/jspPluginAction.jsp HTTP/1.1" 500 2909
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:08:20 +0530] "GET /JSP_Actions/jspPluginAction.jsp HTTP/1.1" 500 2909
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:08:45 +0530] "GET /JSP_Actions/jspPluginAction.jsp HTTP/1.1" 500 2909
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:09:00 +0530] "GET /JSP_Actions/jspPluginAction.jsp HTTP/1.1" 500 2909
0:0:0:0:0:0:0:1 - - [27/Jan/2018:22:09:28 +0530] "GET /JSP_Actions/jspPluginAction.jsp HTTP/1.1" 500 2909
